obs_mean,obs_var,act_mean,act_var,cumulative_reward,cumulative_cost,reward_mean,reward_var,cost_mean,cost_var,terminal,timeout,trajectory_length
"[ 4.1870299e-01  6.5530586e-01  9.8099718e+00  5.6713259e-01
 -3.1365940e-01  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1481283e+00 -6.1645482e-02 -1.9448798e-03  0.0000000e+00
  1.2867801e-01  1.3729945e-01  7.6974176e-02  6.0682010e-02
  5.2880164e-02  3.1986393e-02  2.6769651e-02  3.9208513e-02
  4.9802132e-02  5.4309990e-02  5.8709964e-02  5.7058003e-02
  5.0690386e-02  4.4329114e-02  5.8459524e-02  7.8090593e-02
  3.6091459e-01  4.3421736e-01  4.0690076e-01  4.7776502e-01
  5.0720334e-01  3.9264834e-01  3.5712439e-01  3.2835242e-01
  3.3270246e-01  3.3138317e-01  3.0339798e-01  2.9595688e-01
  2.9895759e-01  3.1101838e-01  3.2718733e-01  3.2110798e-01
  9.3985029e-02  8.5667156e-02  9.0960138e-02  9.2046782e-02
  7.2091855e-02  6.6835575e-02  7.8523785e-02  7.8362361e-02
  7.4688576e-02  6.3887201e-02  5.9699699e-02  7.2648354e-02
  8.2719214e-02  8.3060168e-02  8.3627783e-02  9.3788467e-02]","[5.6693501e+00 6.7452866e+01 8.1854523e-10 2.3286752e-02 9.2310440e-03
 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.5893259e+00 1.3588887e-01
 1.1030715e-01 0.0000000e+00 5.8189426e-02 5.9274659e-02 2.6016545e-02
 1.9743474e-02 2.0598430e-02 9.7358003e-03 8.5526872e-03 1.4013898e-02
 2.0597221e-02 2.3816306e-02 2.8644510e-02 2.5779152e-02 2.3167023e-02
 1.8865548e-02 2.5296593e-02 3.7276633e-02 6.9382362e-02 4.6254627e-02
 4.1469965e-02 4.1464690e-02 4.7097895e-02 6.7056872e-02 6.5038159e-02
 7.6417007e-02 8.7649517e-02 9.2825539e-02 9.1794014e-02 9.3583964e-02
 9.1696724e-02 8.4686294e-02 8.3591171e-02 8.4085330e-02 4.2043835e-02
 2.6638290e-02 3.1959396e-02 3.2007746e-02 2.7515080e-02 2.9374938e-02
 3.9788119e-02 4.1361112e-02 4.3815743e-02 3.9486017e-02 3.5744876e-02
 4.6634700e-02 4.9316660e-02 4.8267771e-02 4.6631046e-02 4.6435103e-02]",[0.348139  0.3921722],[0.27364945 0.29256165],3.0565977,83.0,0.0030565977,0.002129367,0.083,0.076111004,False,True,1000
"[ 3.98691684e-01  6.01260662e-01  9.80997181e+00  5.53711414e-01
 -2.88195729e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.10268641e+00  1.63070932e-02  1.89017353e-03  0.00000000e+00
  1.23347804e-01  1.00657716e-01  9.16445330e-02  8.35978240e-02
  7.15029240e-02  5.57953715e-02  5.05838431e-02  5.38231581e-02
  4.29154821e-02  3.08823846e-02  2.91986410e-02  4.16696668e-02
  6.13557994e-02  7.54038692e-02  8.78145695e-02  1.16533548e-01
  3.58884990e-01  3.82745862e-01  3.07111949e-01  2.43105337e-01
  2.79502094e-01  3.13173532e-01  3.31846356e-01  2.96438813e-01
  2.58718103e-01  2.42651552e-01  2.26178154e-01  2.18429297e-01
  2.24480063e-01  2.60847032e-01  3.12984437e-01  3.39348972e-01
  8.90168771e-02  8.63262340e-02  8.73870403e-02  6.85310215e-02
  6.11963607e-02  8.09860751e-02  1.10757865e-01  1.05109178e-01
  5.89459352e-02  3.67338061e-02  3.96068171e-02  4.24907990e-02
  4.85284962e-02  6.14487529e-02  9.68181193e-02  1.10631555e-01]","[5.8210149e+00 6.7331825e+01 8.1854523e-10 2.5736906e-02 9.3647800e-03
 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.6848640e+00 1.2596075e-01
 1.2376982e-01 0.0000000e+00 5.1847212e-02 3.6307845e-02 2.8031478e-02
 2.2446422e-02 2.0880302e-02 1.8358920e-02 2.1797182e-02 2.7848620e-02
 2.4171410e-02 1.9481644e-02 1.7906746e-02 2.4754310e-02 3.3757515e-02
 3.8842008e-02 4.1253947e-02 5.1788494e-02 4.6879977e-02 3.6803693e-02
 3.2179620e-02 3.9047055e-02 4.6941787e-02 7.0929058e-02 9.9506512e-02
 9.7359449e-02 1.0005119e-01 1.0385792e-01 9.6548215e-02 9.7175270e-02
 8.9432411e-02 9.4640963e-02 9.0047784e-02 7.5442009e-02 3.0364977e-02
 2.4302147e-02 2.4249716e-02 1.9094503e-02 1.9075396e-02 3.2158092e-02
 4.9288265e-02 5.6393649e-02 3.3270184e-02 2.3873525e-02 2.6171368e-02
 2.8312447e-02 3.0903311e-02 3.6290914e-02 4.9311999e-02 4.7323339e-02]",[0.36778355 0.3798965 ],[0.2778006 0.3077762],3.2680817,61.0,0.0032680817,0.0020898771,0.061,0.057279,False,True,1000
"[ 0.42384416  0.17878419  9.809972    0.58252484 -0.30904752  0.
  0.          0.          1.090128    0.01823997  0.05604652  0.
  0.20569992  0.19855165  0.15886943  0.17284496  0.12451431  0.0556619
  0.0427686   0.03963967  0.0284733   0.01829429  0.01463643  0.01227831
  0.01673589  0.02284781  0.03608165  0.10766081  0.37852004  0.35353056
  0.32694036  0.3578358   0.42052856  0.42691746  0.32739967  0.3106316
  0.29378837  0.27946517  0.2620719   0.25663465  0.2684897   0.27391464
  0.30411398  0.34060028  0.04152496  0.02688301  0.02279091  0.02934219
  0.04733161  0.06688002  0.07513778  0.07879064  0.0765344   0.05494143
  0.03972236  0.04480922  0.05488157  0.05989943  0.0585773   0.05495499]","[5.5721955e+00 6.7589500e+01 8.1854523e-10 3.1126095e-02 1.2016558e-02
 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.7444022e+00 1.3010983e-01
 1.1641623e-01 0.0000000e+00 9.0792157e-02 6.6458762e-02 4.9177870e-02
 5.8328371e-02 5.3570248e-02 1.8701516e-02 2.0097248e-02 1.9127496e-02
 1.5417730e-02 1.1078519e-02 9.8159360e-03 7.8921281e-03 9.5102545e-03
 1.4315047e-02 1.7521467e-02 5.2883521e-02 6.0542595e-02 4.4580419e-02
 2.8325789e-02 2.8514324e-02 4.4162951e-02 5.2008174e-02 6.0700312e-02
 8.9159064e-02 9.4345547e-02 9.7876810e-02 1.0028625e-01 9.9285774e-02
 9.9168271e-02 8.6501315e-02 8.5493632e-02 8.4426060e-02 9.1804676e-03
 4.6201213e-03 3.3745905e-03 4.5679030e-03 8.9681577e-03 1.5785880e-02
 2.2373267e-02 2.7459973e-02 3.4342371e-02 2.4942514e-02 1.8956555e-02
 2.1268062e-02 2.5604265e-02 2.4099033e-02 2.0481125e-02 1.5216834e-02]",[0.36792764 0.38172638],[0.2805476  0.30674148],4.8744407,89.0,0.004874441,0.0031099315,0.089,0.081079,False,True,1000
"[ 0.46161488  0.38808697  9.809972    0.5356549  -0.30690274  0.
  0.          0.          1.1938077   0.05495799  0.02213102  0.
  0.11358387  0.08971596  0.08028032  0.09151165  0.09062625  0.0908467
  0.08424398  0.06790678  0.05646965  0.0493303   0.04101645  0.04014567
  0.04939077  0.05898422  0.0658694   0.09303945  0.21810417  0.18399253
  0.1648055   0.17990388  0.18278557  0.21395282  0.24226703  0.23665614
  0.22340794  0.22558409  0.21900621  0.24002968  0.25329462  0.24546249
  0.24011987  0.2485471   0.0363695   0.02758233  0.02558166  0.03149271
  0.03670994  0.03626668  0.04081262  0.05972968  0.06146834  0.05083724
  0.05235828  0.05853172  0.06864464  0.05721526  0.03579298  0.03608232]","[5.70666456e+00 6.25585594e+01 8.18545232e-10 2.84885671e-02
 1.10584823e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.60503602e+00 1.19375341e-01 1.27114519e-01 0.00000000e+00
 4.60791551e-02 2.78716981e-02 2.60091536e-02 2.90024728e-02
 3.18012647e-02 3.50957401e-02 4.17396575e-02 3.13702375e-02
 3.34635079e-02 2.87979748e-02 2.50908025e-02 2.35110056e-02
 2.76738182e-02 3.05753611e-02 2.89894529e-02 3.86226811e-02
 7.50419125e-02 5.72273992e-02 5.03962263e-02 5.66716604e-02
 6.08455166e-02 7.63213709e-02 9.38505456e-02 8.98437724e-02
 9.08780247e-02 9.72069204e-02 9.20428261e-02 9.64478478e-02
 1.01883635e-01 9.60131139e-02 9.13296640e-02 1.00641459e-01
 8.29472020e-03 5.15384227e-03 4.57242038e-03 6.22463506e-03
 7.80090224e-03 8.62633809e-03 1.08578065e-02 2.03543827e-02
 2.20253412e-02 1.81198847e-02 2.10597273e-02 2.17570756e-02
 2.66604125e-02 2.02790555e-02 1.02284700e-02 1.02192704e-02]",[0.35672426 0.41092348],[0.27359012 0.29881793],1.9450644,59.0,0.0019450644,0.0011171239,0.059,0.055519,False,True,1000
"[ 0.41995236  0.3893108   9.809972    0.5142344  -0.28502822  0.
  0.          0.          1.1760385  -0.03134777  0.05037283  0.
  0.05786099  0.11196756  0.11799512  0.07209372  0.03596896  0.03299033
  0.03961986  0.04851316  0.0455058   0.04204095  0.04104635  0.03646024
  0.03666188  0.03621959  0.03042059  0.02479404  0.20556091  0.18563542
  0.17650864  0.18769254  0.21026593  0.23595034  0.2646213   0.25897637
  0.24109484  0.22548577  0.21971655  0.21293622  0.22178926  0.22608155
  0.25417966  0.24577701  0.02483959  0.01657282  0.01407515  0.02211688
  0.03533773  0.05139549  0.05996957  0.05612674  0.05349392  0.04720135
  0.03776621  0.03628103  0.03676771  0.03662352  0.03450878  0.03044077]","[6.01331663e+00 6.47154236e+01 8.18545232e-10 2.17477456e-02
 7.51937320e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.67556930e+00 1.18831493e-01 1.27648264e-01 0.00000000e+00
 2.76465155e-02 5.79331815e-02 6.33487701e-02 3.04419827e-02
 1.26536591e-02 6.59157569e-03 9.38847009e-03 1.37201110e-02
 1.54359573e-02 1.51672587e-02 1.55478856e-02 1.33322263e-02
 1.26349935e-02 1.10963946e-02 8.29694327e-03 4.67085745e-03
 5.76173812e-02 4.75892574e-02 3.87338772e-02 4.22145650e-02
 5.00772558e-02 6.31959140e-02 7.81646743e-02 8.40300173e-02
 8.59854668e-02 8.72478858e-02 9.02348086e-02 8.89909789e-02
 8.74863788e-02 8.50922391e-02 9.06329900e-02 7.36502856e-02
 3.69900628e-03 2.07436178e-03 1.57925428e-03 2.98026064e-03
 5.29711600e-03 1.00205690e-02 1.39962249e-02 1.63530409e-02
 1.75883938e-02 1.72192175e-02 1.35575049e-02 1.30706588e-02
 1.25198243e-02 1.11740427e-02 8.70018918e-03 5.76571980e-03]",[0.3476613  0.40256292],[0.28046307 0.302349  ],1.0259567,53.0,0.0010259567,0.0010853411,0.053,0.050191008,False,True,1000
"[ 0.40103537 -0.07063043  9.809972    0.5426509  -0.2944136   0.
  0.          0.          1.1411577  -0.099076    0.01318889  0.
  0.04941129  0.0313186   0.02434257  0.02533666  0.02959142  0.04671623
  0.06561024  0.07165451  0.06363165  0.06286968  0.06783448  0.0696305
  0.07996337  0.08593383  0.07483067  0.06175579  0.35913163  0.41532603
  0.33923844  0.3548139   0.34343517  0.30080935  0.26218748  0.26107016
  0.25438523  0.24104118  0.24322186  0.24252567  0.25012538  0.265197
  0.26942495  0.24461219  0.01862285  0.016071    0.01453422  0.02144366
  0.02718118  0.03068278  0.03948797  0.04990385  0.05535798  0.05731884
  0.05856726  0.0566897   0.04908381  0.04410319  0.03375406  0.02037625]","[5.85455799e+00 6.45073318e+01 8.18545232e-10 2.45060064e-02
 6.87595317e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.69212079e+00 1.18829533e-01 1.21180333e-01 0.00000000e+00
 1.19781718e-02 6.01777341e-03 4.75906208e-03 5.44955162e-03
 6.48633623e-03 1.28575535e-02 2.13203635e-02 2.66467966e-02
 2.58807801e-02 2.81082373e-02 3.08175813e-02 3.24508995e-02
 3.37014534e-02 3.37917544e-02 2.49152705e-02 1.68932043e-02
 1.02677025e-01 1.00658029e-01 8.75049978e-02 9.87563729e-02
 1.03522629e-01 9.86301973e-02 8.41898620e-02 8.97954181e-02
 8.87546912e-02 8.58636498e-02 8.89458135e-02 8.78605098e-02
 8.98599029e-02 9.05162692e-02 9.25714076e-02 7.46138990e-02
 4.23676893e-03 3.16449231e-03 2.39798520e-03 4.12061624e-03
 5.89421764e-03 7.79131753e-03 1.16456980e-02 1.70414262e-02
 1.96759235e-02 2.12541800e-02 2.18794364e-02 2.10658517e-02
 1.78104509e-02 1.61826108e-02 1.12185627e-02 5.26017835e-03]",[0.35001335 0.39826944],[0.27766782 0.30299035],0.011960059,81.0,1.1960059e-05,9.1202186e-05,0.081,0.07443899,False,True,1000
"[ 4.5308352e-01  4.2193377e-01  9.8099718e+00  5.9617990e-01
 -3.3141416e-01  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.2010441e+00 -3.7149340e-04  6.2747397e-02  0.0000000e+00
  1.3909271e-01  1.5144788e-01  1.3993990e-01  9.4161607e-02
  8.6192444e-02  8.3648734e-02  7.2729371e-02  5.3046949e-02
  3.1377465e-02  2.9661642e-02  2.6531313e-02  2.7489817e-02
  3.0322460e-02  4.5319267e-02  8.4751621e-02  1.2616134e-01
  3.9816570e-01  4.6294779e-01  4.6672580e-01  4.4954273e-01
  4.5696005e-01  4.5390517e-01  3.5991248e-01  3.2391250e-01
  2.8711987e-01  2.4179582e-01  2.3398978e-01  2.3423120e-01
  2.5931978e-01  2.9608622e-01  3.2257354e-01  3.4152225e-01
  6.0229480e-02  6.4244024e-02  8.1547752e-02  9.8629966e-02
  9.2616811e-02  9.6586652e-02  8.7701343e-02  5.5147626e-02
  5.2519497e-02  5.6993961e-02  4.5264754e-02  4.3123476e-02
  5.0671518e-02  5.6764677e-02  6.3725345e-02  6.2786028e-02]","[5.48609352e+00 6.15895348e+01 8.18545232e-10 3.11441179e-02
 9.14955605e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.69633436e+00 1.25262067e-01 1.20800562e-01 0.00000000e+00
 5.22055104e-02 4.73286808e-02 4.11537029e-02 2.74943300e-02
 2.90301628e-02 3.18179354e-02 3.81144136e-02 3.02504469e-02
 1.96219832e-02 2.01810114e-02 1.74824111e-02 1.85647048e-02
 1.98022015e-02 2.63948720e-02 4.61201295e-02 6.35292903e-02
 6.18392825e-02 5.24822287e-02 3.44747938e-02 3.39091308e-02
 5.23494631e-02 6.05965406e-02 9.05903280e-02 1.01886734e-01
 1.02802143e-01 1.00312963e-01 1.01962827e-01 1.04394078e-01
 1.03861704e-01 1.05719700e-01 9.71595570e-02 7.74649605e-02
 2.18198877e-02 2.06094831e-02 2.18306947e-02 2.57240720e-02
 2.63674855e-02 3.47529650e-02 3.85025144e-02 2.77061611e-02
 2.93123275e-02 3.45410816e-02 2.59312596e-02 2.68203132e-02
 2.85644494e-02 3.26592326e-02 3.09352614e-02 2.74341647e-02]",[0.39532667 0.4124632 ],[0.26113364 0.30470878],3.050966,57.0,0.003050966,0.0021513323,0.057,0.053751007,False,True,1000
"[ 0.44409272  0.19602627  9.809972    0.522497   -0.30265263  0.
  0.          0.          1.1878608   0.09990606  0.01787871  0.
  0.1076787   0.09770492  0.07915096  0.06482455  0.05692226  0.05727412
  0.05814166  0.05486549  0.06041902  0.07844914  0.0701957   0.05441745
  0.05196232  0.05211092  0.06021887  0.08504274  0.22053304  0.18465367
  0.2255961   0.24426904  0.23012248  0.2525157   0.26212513  0.24173398
  0.25492796  0.24450383  0.23430872  0.2322575   0.23782395  0.24673338
  0.2758269   0.28992337  0.06079322  0.06735105  0.0708227   0.10778876
  0.1418651   0.10867817  0.07422942  0.08451995  0.08763006  0.06262439
  0.04877378  0.04531543  0.04878277  0.06388035  0.06960988  0.06234886]","[5.89560699e+00 6.31398468e+01 8.18545232e-10 2.70470157e-02
 1.50626879e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.78083992e+00 1.18106090e-01 1.21593125e-01 0.00000000e+00
 4.71437201e-02 3.05597987e-02 2.21625064e-02 1.77754015e-02
 1.78363286e-02 1.94958951e-02 2.25210637e-02 2.36184373e-02
 2.63550468e-02 3.89886983e-02 3.58003676e-02 2.69813407e-02
 2.70172600e-02 2.33428068e-02 2.57918574e-02 3.03427186e-02
 8.34370479e-02 6.25639632e-02 7.69216642e-02 8.46673101e-02
 8.60357881e-02 1.01950400e-01 1.19445555e-01 1.10982440e-01
 1.21276088e-01 1.17017567e-01 1.14350826e-01 1.15318246e-01
 1.13880068e-01 1.11109070e-01 1.17839940e-01 1.13469154e-01
 2.31192429e-02 2.27436796e-02 2.13783868e-02 3.43592316e-02
 5.50898761e-02 4.48128358e-02 2.84457467e-02 4.03083898e-02
 4.50656042e-02 3.32470164e-02 3.03497016e-02 2.67818924e-02
 2.74762046e-02 3.53154056e-02 3.36555727e-02 2.72313841e-02]",[0.345133   0.41366225],[0.27745566 0.31095544],1.6955208,77.0,0.0016955207,0.001092118,0.077,0.071070984,False,True,1000
"[ 0.44611564  0.38047206  9.809972    0.48602152 -0.29582083  0.
  0.          0.          1.2440054  -0.05121897 -0.02816584  0.
  0.10205559  0.09255397  0.09047829  0.08327762  0.07550966  0.09581473
  0.10376742  0.06178222  0.03845869  0.036772    0.03511097  0.04224079
  0.04164797  0.04911817  0.06492697  0.09039606  0.28060305  0.2506239
  0.2231084   0.22755893  0.2568697   0.30094036  0.32264614  0.31664917
  0.30870306  0.30888873  0.31534815  0.3012001   0.30565053  0.30928496
  0.31336734  0.29115754  0.27226797  0.22558047  0.10424645  0.08384383
  0.07813697  0.08930522  0.07930773  0.070583    0.06763899  0.0501464
  0.0384161   0.04426893  0.05308898  0.05674069  0.07316688  0.14580153]","[6.01707363e+00 6.23855896e+01 8.18545232e-10 2.80336067e-02
 1.20500112e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.70488763e+00 1.18339054e-01 1.28244340e-01 0.00000000e+00
 4.48998027e-02 3.49136703e-02 3.09425443e-02 3.02169640e-02
 2.69140024e-02 3.51436473e-02 4.95288186e-02 2.63370816e-02
 2.14497112e-02 1.96373817e-02 1.84283238e-02 2.23168433e-02
 2.10702848e-02 2.54163947e-02 3.17844301e-02 4.46508378e-02
 9.14246589e-02 6.93246275e-02 6.03653267e-02 6.03307486e-02
 7.24702403e-02 8.54023099e-02 1.04849063e-01 1.06627688e-01
 1.08190186e-01 1.07960477e-01 1.16119467e-01 1.07568920e-01
 1.09872125e-01 1.12330452e-01 1.09312423e-01 9.32154208e-02
 1.39130875e-01 9.33844969e-02 4.72660027e-02 4.13895398e-02
 3.73845622e-02 5.14743999e-02 4.26541232e-02 4.14663963e-02
 4.32474390e-02 3.22567374e-02 2.43421216e-02 2.91199367e-02
 3.40361521e-02 3.35754268e-02 4.41741869e-02 6.49522468e-02]",[0.3263751 0.4264758],[0.30257514 0.29988915],1.120771,60.0,0.001120771,0.0010989994,0.06,0.056399997,False,True,1000
"[ 0.3939203   0.5117856   9.809972    0.4833994  -0.2760908   0.
  0.          0.          1.1353064  -0.0918008  -0.06237056  0.
  0.06786952  0.04132044  0.02795553  0.02627493  0.02592391  0.03068002
  0.04380555  0.05277221  0.0502713   0.04885879  0.07349057  0.10071816
  0.10250693  0.09548727  0.07878609  0.07449763  0.30801758  0.28700808
  0.30607632  0.30983052  0.29912382  0.3144482   0.33356348  0.32745254
  0.31999683  0.31880933  0.31029302  0.30830508  0.313731    0.33302328
  0.36532575  0.35695037  0.02597559  0.0184743   0.01904128  0.02332949
  0.03267878  0.04554595  0.0581243   0.08181169  0.09567481  0.07815318
  0.06005953  0.05583806  0.05344073  0.05671859  0.05759237  0.04271608]","[6.08615208e+00 6.53324738e+01 8.18545232e-10 3.61807793e-02
 1.92768481e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.97148681e+00 1.21419296e-01 1.16263278e-01 0.00000000e+00
 2.57105026e-02 1.28382584e-02 5.56353340e-03 5.17401425e-03
 5.75027103e-03 7.98691716e-03 1.33065628e-02 1.96355563e-02
 1.92648023e-02 2.16581244e-02 3.06213964e-02 4.22701798e-02
 4.02892977e-02 3.93771529e-02 2.96674389e-02 2.78789159e-02
 6.64863214e-02 5.27958535e-02 5.05889133e-02 5.03382571e-02
 6.54154494e-02 7.09303766e-02 8.35798532e-02 8.73321295e-02
 9.17308629e-02 9.84652042e-02 9.43475068e-02 9.91627052e-02
 9.15772617e-02 9.24770087e-02 8.13276246e-02 8.03756937e-02
 7.07816239e-03 4.03712364e-03 4.41872329e-03 5.74671710e-03
 8.36742297e-03 1.32300649e-02 1.75295100e-02 3.14759277e-02
 3.45839486e-02 3.02048884e-02 2.40147635e-02 2.28856038e-02
 2.00278908e-02 1.98887121e-02 2.11971421e-02 1.44938435e-02]",[0.32282984 0.38878766],[0.29126197 0.33510682],1.8269587,47.0,0.0018269586,0.0010862324,0.047,0.044790998,False,True,1000
