cumulative_reward,cumulative_cost,reward_mean,reward_var,cost_mean,cost_var,terminal,timeout,trajectory_length,obs_mean_0,obs_mean_1,obs_mean_2,obs_mean_3,obs_mean_4,obs_mean_5,obs_mean_6,obs_mean_7,obs_mean_8,obs_mean_9,obs_mean_10,obs_mean_11,obs_mean_12,obs_mean_13,obs_mean_14,obs_mean_15,obs_mean_16,obs_mean_17,obs_mean_18,obs_mean_19,obs_mean_20,obs_mean_21,obs_mean_22,obs_mean_23,obs_mean_24,obs_mean_25,obs_mean_26,obs_mean_27,obs_mean_28,obs_mean_29,obs_mean_30,obs_mean_31,obs_mean_32,obs_mean_33,obs_mean_34,obs_mean_35,obs_mean_36,obs_mean_37,obs_mean_38,obs_mean_39,obs_mean_40,obs_mean_41,obs_mean_42,obs_mean_43,obs_mean_44,obs_mean_45,obs_mean_46,obs_mean_47,obs_mean_48,obs_mean_49,obs_mean_50,obs_mean_51,obs_mean_52,obs_mean_53,obs_mean_54,obs_mean_55,obs_mean_56,obs_mean_57,obs_mean_58,obs_mean_59,obs_var_0,obs_var_1,obs_var_2,obs_var_3,obs_var_4,obs_var_5,obs_var_6,obs_var_7,obs_var_8,obs_var_9,obs_var_10,obs_var_11,obs_var_12,obs_var_13,obs_var_14,obs_var_15,obs_var_16,obs_var_17,obs_var_18,obs_var_19,obs_var_20,obs_var_21,obs_var_22,obs_var_23,obs_var_24,obs_var_25,obs_var_26,obs_var_27,obs_var_28,obs_var_29,obs_var_30,obs_var_31,obs_var_32,obs_var_33,obs_var_34,obs_var_35,obs_var_36,obs_var_37,obs_var_38,obs_var_39,obs_var_40,obs_var_41,obs_var_42,obs_var_43,obs_var_44,obs_var_45,obs_var_46,obs_var_47,obs_var_48,obs_var_49,obs_var_50,obs_var_51,obs_var_52,obs_var_53,obs_var_54,obs_var_55,obs_var_56,obs_var_57,obs_var_58,obs_var_59,act_mean_0,act_mean_1,act_var_0,act_var_1,Cluster
3.0565977,83.0,0.0030565977,0.002129367,0.083,0.076111004,False,True,1000,0.41870299,0.65530586,9.8099718,0.56713259,-0.3136594,0.0,0.0,0.0,1.1481283,-0.061645482,-0.0019448798,0.0,0.12867801,0.13729945,0.076974176,0.06068201,0.052880164,0.031986393,0.026769651,0.039208513,0.049802132,0.05430999,0.058709964,0.057058003,0.050690386,0.044329114,0.058459524,0.078090593,0.36091459,0.43421736,0.40690076,0.47776502,0.50720334,0.39264834,0.35712439,0.32835242,0.33270246,0.33138317,0.30339798,0.29595688,0.29895759,0.31101838,0.32718733,0.32110798,0.093985029,0.085667156,0.090960138,0.092046782,0.072091855,0.066835575,0.078523785,0.078362361,0.074688576,0.063887201,0.059699699,0.072648354,0.082719214,0.083060168,0.083627783,0.093788467,5.6693501,67.452866,8.1854523e-10,0.023286752,0.009231044,0.0,0.0,0.0,2.5893259,0.13588887,0.11030715,0.0,0.058189426,0.059274659,0.026016545,0.019743474,0.02059843,0.0097358003,0.0085526872,0.014013898,0.020597221,0.023816306,0.02864451,0.025779152,0.023167023,0.018865548,0.025296593,0.037276633,0.069382362,0.046254627,0.041469965,0.04146469,0.047097895,0.067056872,0.065038159,0.076417007,0.087649517,0.092825539,0.091794014,0.093583964,0.091696724,0.084686294,0.083591171,0.08408533,0.042043835,0.02663829,0.031959396,0.032007746,0.02751508,0.029374938,0.039788119,0.041361112,0.043815743,0.039486017,0.035744876,0.0466347,0.04931666,0.048267771,0.046631046,0.046435103,0.348139,0.3921722,0.27364945,0.29256165,0
3.2680817,61.0,0.0032680817,0.0020898771,0.061,0.057279,False,True,1000,0.398691684,0.601260662,9.80997181,0.553711414,-0.288195729,0.0,0.0,0.0,1.10268641,0.0163070932,0.00189017353,0.0,0.123347804,0.100657716,0.091644533,0.083597824,0.071502924,0.0557953715,0.0505838431,0.0538231581,0.0429154821,0.0308823846,0.029198641,0.0416696668,0.0613557994,0.0754038692,0.0878145695,0.116533548,0.35888499,0.382745862,0.307111949,0.243105337,0.279502094,0.313173532,0.331846356,0.296438813,0.258718103,0.242651552,0.226178154,0.218429297,0.224480063,0.260847032,0.312984437,0.339348972,0.0890168771,0.086326234,0.0873870403,0.0685310215,0.0611963607,0.0809860751,0.110757865,0.105109178,0.0589459352,0.0367338061,0.0396068171,0.042490799,0.0485284962,0.0614487529,0.0968181193,0.110631555,5.8210149,67.331825,8.1854523e-10,0.025736906,0.00936478,0.0,0.0,0.0,2.684864,0.12596075,0.12376982,0.0,0.051847212,0.036307845,0.028031478,0.022446422,0.020880302,0.01835892,0.021797182,0.02784862,0.02417141,0.019481644,0.017906746,0.02475431,0.033757515,0.038842008,0.041253947,0.051788494,0.046879977,0.036803693,0.03217962,0.039047055,0.046941787,0.070929058,0.099506512,0.097359449,0.10005119,0.10385792,0.096548215,0.09717527,0.089432411,0.094640963,0.090047784,0.075442009,0.030364977,0.024302147,0.024249716,0.019094503,0.019075396,0.032158092,0.049288265,0.056393649,0.033270184,0.023873525,0.026171368,0.028312447,0.030903311,0.036290914,0.049311999,0.047323339,0.36778355,0.3798965,0.2778006,0.3077762,0
4.8744407,89.0,0.004874441,0.0031099315,0.089,0.081079,False,True,1000,0.42384416,0.17878419,9.809972,0.58252484,-0.30904752,0.0,0.0,0.0,1.090128,0.01823997,0.05604652,0.0,0.20569992,0.19855165,0.15886943,0.17284496,0.12451431,0.0556619,0.0427686,0.03963967,0.0284733,0.01829429,0.01463643,0.01227831,0.01673589,0.02284781,0.03608165,0.10766081,0.37852004,0.35353056,0.32694036,0.3578358,0.42052856,0.42691746,0.32739967,0.3106316,0.29378837,0.27946517,0.2620719,0.25663465,0.2684897,0.27391464,0.30411398,0.34060028,0.04152496,0.02688301,0.02279091,0.02934219,0.04733161,0.06688002,0.07513778,0.07879064,0.0765344,0.05494143,0.03972236,0.04480922,0.05488157,0.05989943,0.0585773,0.05495499,5.5721955,67.5895,8.1854523e-10,0.031126095,0.012016558,0.0,0.0,0.0,2.7444022,0.13010983,0.11641623,0.0,0.090792157,0.066458762,0.04917787,0.058328371,0.053570248,0.018701516,0.020097248,0.019127496,0.01541773,0.011078519,0.009815936,0.0078921281,0.0095102545,0.014315047,0.017521467,0.052883521,0.060542595,0.044580419,0.028325789,0.028514324,0.044162951,0.052008174,0.060700312,0.089159064,0.094345547,0.09787681,0.10028625,0.099285774,0.099168271,0.086501315,0.085493632,0.08442606,0.0091804676,0.0046201213,0.0033745905,0.004567903,0.0089681577,0.01578588,0.022373267,0.027459973,0.034342371,0.024942514,0.018956555,0.021268062,0.025604265,0.024099033,0.020481125,0.015216834,0.36792764,0.38172638,0.2805476,0.30674148,4
1.9450644,59.0,0.0019450644,0.0011171239,0.059,0.055519,False,True,1000,0.46161488,0.38808697,9.809972,0.5356549,-0.30690274,0.0,0.0,0.0,1.1938077,0.05495799,0.02213102,0.0,0.11358387,0.08971596,0.08028032,0.09151165,0.09062625,0.0908467,0.08424398,0.06790678,0.05646965,0.0493303,0.04101645,0.04014567,0.04939077,0.05898422,0.0658694,0.09303945,0.21810417,0.18399253,0.1648055,0.17990388,0.18278557,0.21395282,0.24226703,0.23665614,0.22340794,0.22558409,0.21900621,0.24002968,0.25329462,0.24546249,0.24011987,0.2485471,0.0363695,0.02758233,0.02558166,0.03149271,0.03670994,0.03626668,0.04081262,0.05972968,0.06146834,0.05083724,0.05235828,0.05853172,0.06864464,0.05721526,0.03579298,0.03608232,5.70666456,62.5585594,8.18545232e-10,0.0284885671,0.0110584823,0.0,0.0,0.0,2.60503602,0.119375341,0.127114519,0.0,0.0460791551,0.0278716981,0.0260091536,0.0290024728,0.0318012647,0.0350957401,0.0417396575,0.0313702375,0.0334635079,0.0287979748,0.0250908025,0.0235110056,0.0276738182,0.0305753611,0.0289894529,0.0386226811,0.0750419125,0.0572273992,0.0503962263,0.0566716604,0.0608455166,0.0763213709,0.0938505456,0.0898437724,0.0908780247,0.0972069204,0.0920428261,0.0964478478,0.101883635,0.0960131139,0.091329664,0.100641459,0.0082947202,0.00515384227,0.00457242038,0.00622463506,0.00780090224,0.00862633809,0.0108578065,0.0203543827,0.0220253412,0.0181198847,0.0210597273,0.0217570756,0.0266604125,0.0202790555,0.01022847,0.0102192704,0.35672426,0.41092348,0.27359012,0.29881793,0
1.0259567,53.0,0.0010259567,0.0010853411,0.053,0.050191008,False,True,1000,0.41995236,0.3893108,9.809972,0.5142344,-0.28502822,0.0,0.0,0.0,1.1760385,-0.03134777,0.05037283,0.0,0.05786099,0.11196756,0.11799512,0.07209372,0.03596896,0.03299033,0.03961986,0.04851316,0.0455058,0.04204095,0.04104635,0.03646024,0.03666188,0.03621959,0.03042059,0.02479404,0.20556091,0.18563542,0.17650864,0.18769254,0.21026593,0.23595034,0.2646213,0.25897637,0.24109484,0.22548577,0.21971655,0.21293622,0.22178926,0.22608155,0.25417966,0.24577701,0.02483959,0.01657282,0.01407515,0.02211688,0.03533773,0.05139549,0.05996957,0.05612674,0.05349392,0.04720135,0.03776621,0.03628103,0.03676771,0.03662352,0.03450878,0.03044077,6.01331663,64.7154236,8.18545232e-10,0.0217477456,0.0075193732,0.0,0.0,0.0,2.6755693,0.118831493,0.127648264,0.0,0.0276465155,0.0579331815,0.0633487701,0.0304419827,0.0126536591,0.00659157569,0.00938847009,0.013720111,0.0154359573,0.0151672587,0.0155478856,0.0133322263,0.0126349935,0.0110963946,0.00829694327,0.00467085745,0.0576173812,0.0475892574,0.0387338772,0.042214565,0.0500772558,0.063195914,0.0781646743,0.0840300173,0.0859854668,0.0872478858,0.0902348086,0.0889909789,0.0874863788,0.0850922391,0.09063299,0.0736502856,0.00369900628,0.00207436178,0.00157925428,0.00298026064,0.005297116,0.010020569,0.0139962249,0.0163530409,0.0175883938,0.0172192175,0.0135575049,0.0130706588,0.0125198243,0.0111740427,0.00870018918,0.0057657198,0.3476613,0.40256292,0.28046307,0.302349,3
0.011960059,81.0,1.1960059e-05,9.1202186e-05,0.081,0.07443899,False,True,1000,0.40103537,-0.07063043,9.809972,0.5426509,-0.2944136,0.0,0.0,0.0,1.1411577,-0.099076,0.01318889,0.0,0.04941129,0.0313186,0.02434257,0.02533666,0.02959142,0.04671623,0.06561024,0.07165451,0.06363165,0.06286968,0.06783448,0.0696305,0.07996337,0.08593383,0.07483067,0.06175579,0.35913163,0.41532603,0.33923844,0.3548139,0.34343517,0.30080935,0.26218748,0.26107016,0.25438523,0.24104118,0.24322186,0.24252567,0.25012538,0.265197,0.26942495,0.24461219,0.01862285,0.016071,0.01453422,0.02144366,0.02718118,0.03068278,0.03948797,0.04990385,0.05535798,0.05731884,0.05856726,0.0566897,0.04908381,0.04410319,0.03375406,0.02037625,5.85455799,64.5073318,8.18545232e-10,0.0245060064,0.00687595317,0.0,0.0,0.0,2.69212079,0.118829533,0.121180333,0.0,0.0119781718,0.00601777341,0.00475906208,0.00544955162,0.00648633623,0.0128575535,0.0213203635,0.0266467966,0.0258807801,0.0281082373,0.0308175813,0.0324508995,0.0337014534,0.0337917544,0.0249152705,0.0168932043,0.102677025,0.100658029,0.0875049978,0.0987563729,0.103522629,0.0986301973,0.084189862,0.0897954181,0.0887546912,0.0858636498,0.0889458135,0.0878605098,0.0898599029,0.0905162692,0.0925714076,0.074613899,0.00423676893,0.00316449231,0.0023979852,0.00412061624,0.00589421764,0.00779131753,0.011645698,0.0170414262,0.0196759235,0.02125418,0.0218794364,0.0210658517,0.0178104509,0.0161826108,0.0112185627,0.00526017835,0.35001335,0.39826944,0.27766782,0.30299035,0
3.050966,57.0,0.003050966,0.0021513323,0.057,0.053751007,False,True,1000,0.45308352,0.42193377,9.8099718,0.5961799,-0.33141416,0.0,0.0,0.0,1.2010441,-0.0003714934,0.062747397,0.0,0.13909271,0.15144788,0.1399399,0.094161607,0.086192444,0.083648734,0.072729371,0.053046949,0.031377465,0.029661642,0.026531313,0.027489817,0.03032246,0.045319267,0.084751621,0.12616134,0.3981657,0.46294779,0.4667258,0.44954273,0.45696005,0.45390517,0.35991248,0.3239125,0.28711987,0.24179582,0.23398978,0.2342312,0.25931978,0.29608622,0.32257354,0.34152225,0.06022948,0.064244024,0.081547752,0.098629966,0.092616811,0.096586652,0.087701343,0.055147626,0.052519497,0.056993961,0.045264754,0.043123476,0.050671518,0.056764677,0.063725345,0.062786028,5.48609352,61.5895348,8.18545232e-10,0.0311441179,0.00914955605,0.0,0.0,0.0,2.69633436,0.125262067,0.120800562,0.0,0.0522055104,0.0473286808,0.0411537029,0.02749433,0.0290301628,0.0318179354,0.0381144136,0.0302504469,0.0196219832,0.0201810114,0.0174824111,0.0185647048,0.0198022015,0.026394872,0.0461201295,0.0635292903,0.0618392825,0.0524822287,0.0344747938,0.0339091308,0.0523494631,0.0605965406,0.090590328,0.101886734,0.102802143,0.100312963,0.101962827,0.104394078,0.103861704,0.1057197,0.097159557,0.0774649605,0.0218198877,0.0206094831,0.0218306947,0.025724072,0.0263674855,0.034752965,0.0385025144,0.0277061611,0.0293123275,0.0345410816,0.0259312596,0.0268203132,0.0285644494,0.0326592326,0.0309352614,0.0274341647,0.39532667,0.4124632,0.26113364,0.30470878,0
1.6955208,77.0,0.0016955207,0.001092118,0.077,0.071070984,False,True,1000,0.44409272,0.19602627,9.809972,0.522497,-0.30265263,0.0,0.0,0.0,1.1878608,0.09990606,0.01787871,0.0,0.1076787,0.09770492,0.07915096,0.06482455,0.05692226,0.05727412,0.05814166,0.05486549,0.06041902,0.07844914,0.0701957,0.05441745,0.05196232,0.05211092,0.06021887,0.08504274,0.22053304,0.18465367,0.2255961,0.24426904,0.23012248,0.2525157,0.26212513,0.24173398,0.25492796,0.24450383,0.23430872,0.2322575,0.23782395,0.24673338,0.2758269,0.28992337,0.06079322,0.06735105,0.0708227,0.10778876,0.1418651,0.10867817,0.07422942,0.08451995,0.08763006,0.06262439,0.04877378,0.04531543,0.04878277,0.06388035,0.06960988,0.06234886,5.89560699,63.1398468,8.18545232e-10,0.0270470157,0.0150626879,0.0,0.0,0.0,2.78083992,0.11810609,0.121593125,0.0,0.0471437201,0.0305597987,0.0221625064,0.0177754015,0.0178363286,0.0194958951,0.0225210637,0.0236184373,0.0263550468,0.0389886983,0.0358003676,0.0269813407,0.02701726,0.0233428068,0.0257918574,0.0303427186,0.0834370479,0.0625639632,0.0769216642,0.0846673101,0.0860357881,0.1019504,0.119445555,0.11098244,0.121276088,0.117017567,0.114350826,0.115318246,0.113880068,0.11110907,0.11783994,0.113469154,0.0231192429,0.0227436796,0.0213783868,0.0343592316,0.0550898761,0.0448128358,0.0284457467,0.0403083898,0.0450656042,0.0332470164,0.0303497016,0.0267818924,0.0274762046,0.0353154056,0.0336555727,0.0272313841,0.345133,0.41366225,0.27745566,0.31095544,0
1.120771,60.0,0.001120771,0.0010989994,0.06,0.056399997,False,True,1000,0.44611564,0.38047206,9.809972,0.48602152,-0.29582083,0.0,0.0,0.0,1.2440054,-0.05121897,-0.02816584,0.0,0.10205559,0.09255397,0.09047829,0.08327762,0.07550966,0.09581473,0.10376742,0.06178222,0.03845869,0.036772,0.03511097,0.04224079,0.04164797,0.04911817,0.06492697,0.09039606,0.28060305,0.2506239,0.2231084,0.22755893,0.2568697,0.30094036,0.32264614,0.31664917,0.30870306,0.30888873,0.31534815,0.3012001,0.30565053,0.30928496,0.31336734,0.29115754,0.27226797,0.22558047,0.10424645,0.08384383,0.07813697,0.08930522,0.07930773,0.070583,0.06763899,0.0501464,0.0384161,0.04426893,0.05308898,0.05674069,0.07316688,0.14580153,6.01707363,62.3855896,8.18545232e-10,0.0280336067,0.0120500112,0.0,0.0,0.0,2.70488763,0.118339054,0.12824434,0.0,0.0448998027,0.0349136703,0.0309425443,0.030216964,0.0269140024,0.0351436473,0.0495288186,0.0263370816,0.0214497112,0.0196373817,0.0184283238,0.0223168433,0.0210702848,0.0254163947,0.0317844301,0.0446508378,0.0914246589,0.0693246275,0.0603653267,0.0603307486,0.0724702403,0.0854023099,0.104849063,0.106627688,0.108190186,0.107960477,0.116119467,0.10756892,0.109872125,0.112330452,0.109312423,0.0932154208,0.139130875,0.0933844969,0.0472660027,0.0413895398,0.0373845622,0.0514743999,0.0426541232,0.0414663963,0.043247439,0.0322567374,0.0243421216,0.0291199367,0.0340361521,0.0335754268,0.0441741869,0.0649522468,0.3263751,0.4264758,0.30257514,0.29988915,0
1.8269587,47.0,0.0018269586,0.0010862324,0.047,0.044790998,False,True,1000,0.3939203,0.5117856,9.809972,0.4833994,-0.2760908,0.0,0.0,0.0,1.1353064,-0.0918008,-0.06237056,0.0,0.06786952,0.04132044,0.02795553,0.02627493,0.02592391,0.03068002,0.04380555,0.05277221,0.0502713,0.04885879,0.07349057,0.10071816,0.10250693,0.09548727,0.07878609,0.07449763,0.30801758,0.28700808,0.30607632,0.30983052,0.29912382,0.3144482,0.33356348,0.32745254,0.31999683,0.31880933,0.31029302,0.30830508,0.313731,0.33302328,0.36532575,0.35695037,0.02597559,0.0184743,0.01904128,0.02332949,0.03267878,0.04554595,0.0581243,0.08181169,0.09567481,0.07815318,0.06005953,0.05583806,0.05344073,0.05671859,0.05759237,0.04271608,6.08615208,65.3324738,8.18545232e-10,0.0361807793,0.0192768481,0.0,0.0,0.0,2.97148681,0.121419296,0.116263278,0.0,0.0257105026,0.0128382584,0.0055635334,0.00517401425,0.00575027103,0.00798691716,0.0133065628,0.0196355563,0.0192648023,0.0216581244,0.0306213964,0.0422701798,0.0402892977,0.0393771529,0.0296674389,0.0278789159,0.0664863214,0.0527958535,0.0505889133,0.0503382571,0.0654154494,0.0709303766,0.0835798532,0.0873321295,0.0917308629,0.0984652042,0.0943475068,0.0991627052,0.0915772617,0.0924770087,0.0813276246,0.0803756937,0.00707816239,0.00403712364,0.00441872329,0.0057467171,0.00836742297,0.0132300649,0.01752951,0.0314759277,0.0345839486,0.0302048884,0.0240147635,0.0228856038,0.0200278908,0.0198887121,0.0211971421,0.0144938435,0.32282984,0.38878766,0.29126197,0.33510682,0
