Time Step,State,Action,Reward,Cost
0,"[ 1.4959493  11.485338    9.81        0.7732688  -0.36472693  0.
  0.         -0.          2.2245347  -0.49123007  0.09323628  0.
  0.          0.          0.03397879  0.3416754   0.3076966   0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.4516632   0.3759139
  0.46156654  0.24671309  0.7571765   0.78941226  0.03223569  0.
  0.          0.          0.          0.          0.          0.
  0.          0.4315357   0.          0.01979549  0.1082964   0.08850091
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]",[0.62077403 1.        ],-0.0006707472,0.0
1,"[ 2.9417565e+00 -3.3609763e-01  9.8100004e+00  5.6304578e-02
 -5.5373758e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.8761137e+00 -1.4812334e-03 -4.9999779e-01  0.0000000e+00
  0.0000000e+00  0.0000000e+00  4.8668888e-01  6.9538659e-01
  2.0869775e-01  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  6.0215527e-01  5.5057001e-01  4.0757629e-01  0.0000000e+00
  1.1863632e-01  5.1194841e-01  6.6547841e-01  7.6564610e-01
  2.7592787e-01  6.3633835e-01  3.6041048e-01  6.2867725e-01
  5.9545070e-01  7.3314935e-01  4.4211110e-01  2.7098185e-01
  8.0054295e-01  3.6387110e-01  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  4.3667185e-01]",[ 1.         -0.00862247],0.0004314129,0.0
2,"[ 2.6809845e+00  1.2633698e+01  9.8100004e+00  1.1108822e-01
 -9.0412199e-03  0.0000000e+00  0.0000000e+00  0.0000000e+00
  4.6849346e-01 -2.5988200e-03 -4.9999323e-01  0.0000000e+00
  0.0000000e+00  0.0000000e+00  4.8748958e-01  6.9553041e-01
  2.0804085e-01  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  6.0271734e-01  5.5101001e-01  4.0593883e-01  0.0000000e+00
  1.2029704e-01  5.1156801e-01  6.6785264e-01  7.6509666e-01
  2.8087738e-01  6.3587344e-01  3.5499603e-01  6.2867790e-01
  5.8937889e-01  7.3348999e-01  4.3890005e-01  2.7413699e-01
  8.0110979e-01  3.6075473e-01  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  4.4035503e-01]",[-1.         0.5493189],-9.573337e-05,0.0
3,"[-2.956027   -6.201167    9.81        0.05021245 -0.02581774  0.
  0.          0.          1.2803146  -0.01669252 -0.4997213   0.
  0.          0.          0.5342138   0.6954985   0.16128474  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.603186    0.5512995
  0.3680299   0.          0.15612315  0.5110988   0.7222174   0.76454794
  0.32833838  0.6355515   0.3072131   0.6288439   0.542131    0.7339317
  0.40502644  0.31655145  0.80158865  0.30617356  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.49541506]",[ 0.5044925  -0.33824039],0.0007205731,0.0
4,"[ 2.6892436e+00  1.0184474e+01  9.8100004e+00  1.0499939e-01
  3.3776837e-03  0.0000000e+00  0.0000000e+00  0.0000000e+00
 -1.9786081e-01 -9.3178945e-03 -4.9991316e-01  0.0000000e+00
  0.0000000e+00  0.0000000e+00  5.0541610e-01  6.9573867e-01
  1.9032261e-01  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  6.0372990e-01  5.5177736e-01  3.8989571e-01  0.0000000e+00
  1.3558565e-01  5.1083332e-01  6.9080710e-01  7.6407754e-01
  3.0521911e-01  6.3505596e-01  3.2983685e-01  6.2872982e-01
  5.6336027e-01  7.3415220e-01  4.2192477e-01  2.9408982e-01
  8.0213279e-01  3.3648333e-01  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  4.6564946e-01]",[0.66938376 0.7912326 ],7.3936867e-06,0.0
5,"[ 2.7095613   1.2353745   9.81        0.15731373 -0.05296211  0.
  0.          0.          2.514922   -0.02981389 -0.49911034  0.
  0.          0.          0.5726557   0.6957412   0.12308547  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.60455847  0.55232
  0.33497003  0.          0.1872517   0.5100654   0.7631445   0.75716484
  0.37439623  0.6344575   0.26006126  0.6289514   0.49392802  0.73486567
  0.3723042   0.35596308  0.80297655  0.25713536  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.5458412 ]",[0.18805361 0.5646844 ],0.0005656989,0.0
6,"[ 2.5245185  -5.9758554   9.81        0.20796573 -0.03443587  0.
  0.          0.          1.3373652  -0.04456812 -0.4980097   0.
  0.          0.          0.6180055   0.6959297   0.07792419  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.60574746  0.5531941
  0.29666415  0.          0.22299664  0.50915176  0.76191807  0.70082206
  0.42524725  0.63351446  0.20826718  0.6290578   0.51448554  0.7356884
  0.33563855  0.40070367  0.8041793   0.20076554  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.60341376]",[0.48990297 0.86901367],0.00056185975,0.0
7,"[ 2.5381632e+00 -9.4836223e-01  9.8100004e+00  2.5586635e-01
 -7.0153914e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.6993699e+00 -6.9402441e-02 -4.9515986e-01  0.0000000e+00
  0.0000000e+00  1.3246224e-03  6.9611704e-01  6.9479239e-01
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  6.0725814e-01  5.5427945e-01  2.3046169e-01  0.0000000e+00
  2.8431520e-01  5.0794339e-01  7.6033193e-01  6.0507530e-01
  5.0979865e-01  6.3233209e-01  2.7497143e-01  6.2923610e-01
  6.1755753e-01  7.3677641e-01  2.7395213e-01  4.7676212e-01
  8.0570877e-01  1.0406030e-01  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  7.0164847e-01]",[0.84300756 0.5321109 ],0.0013272167,0.0
8,"[ 2.349633   -5.458203    9.81        0.3024144  -0.05265122  0.
  0.          0.          1.4693393  -0.08354248 -0.49297124  0.
  0.          0.04125595  0.6965594   0.6553035   0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.6091093   0.5557206
  0.19453077  0.          0.3167908   0.5066818   0.7585197   0.55310506
  0.5593713   0.63078445  0.3290455   0.62920177  0.68342483  0.7378676
  0.23698594  0.52080184  0.807574    0.04963452  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.75793946]",[0.18847084 0.7695434 ],0.001417547,0.0
9,"[ 2.3405306   2.3046813   9.81        0.34611204 -0.08381289  0.
  0.          0.          2.4609807  -0.10584901 -0.48866755  0.
  0.          0.10916035  0.6970319   0.5878716   0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.6112693   0.55738336
  0.13538966  0.          0.37001163  0.50517476  0.75638515  0.4692423
  0.6289858   0.6216852   0.41148746  0.6291812   0.7391605   0.69506085
  0.17899513  0.59111416  0.7711828   0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.03856843  0.8097512 ]",[-0.679898  1.      ],0.0010715529,0.0
